DATE,COMPOUT
3/15/2017,961.238392
3/22/2017,965.0943961
3/29/2017,986.0491979
4/5/2017,992.678434
4/12/2017,984.8704038
4/19/2017,974.8589564
4/26/2017,980.174975
5/3/2017,992.5377922
5/10/2017,981.4506002
5/17/2017,986.4362734
5/24/2017,987.1296403
5/31/2017,993.5816511
6/7/2017,996.7639438
6/14/2017,968.4482314
6/21/2017,978.6550491
6/28/2017,973.2679284
7/5/2017,946.2542868
7/12/2017,960.1164484
7/19/2017,969.8661251
7/26/2017,977.4409308
8/2/2017,969.2159869
8/9/2017,979.8739087
8/16/2017,987.0606903
8/23/2017,996.0642187
8/30/2017,1023.269794
9/6/2017,1007.172115
9/13/2017,1023.388264
9/20/2017,1043.855681
9/27/2017,1059.138551
10/4/2017,1069.204781
10/11/2017,1063.751937
10/18/2017,1061.692224
10/25/2017,1067.25319
11/1/2017,1047.46457
11/8/2017,1051.369792
11/15/2017,1032.588858
11/22/2017,1028.573104
11/29/2017,1042.702145
12/6/2017,1052.680909
12/13/2017,1049.757134
12/20/2017,1078.678284
12/27/2017,1080.301621
1/3/2018,1086.679421
1/10/2018,1111.281803
1/17/2018,1118.821807
1/24/2018,1128.521331
1/31/2018,1138.863575
2/7/2018,1130.021814
2/14/2018,1117.786965
2/21/2018,1094.524767
2/28/2018,1091.805565
3/7/2018,1093.468492
3/14/2018,1081.093343
3/21/2018,1065.731812
3/28/2018,1064.488283
4/4/2018,1049.821181
4/11/2018,1059.99383
4/18/2018,1065.283956
4/25/2018,1056.842175
5/2/2018,1052.630149
5/9/2018,1058.567509
5/16/2018,1068.037997
5/23/2018,1090.596736
5/30/2018,1107.086975
6/6/2018,1097.218283
6/13/2018,1109.373982
6/20/2018,1102.25708
6/27/2018,1087.285863
7/4/2018,1067.263415
7/11/2018,1076.971154
7/18/2018,1063.316835
7/25/2018,1069.208661
8/1/2018,1066.207393
8/8/2018,1072.522468
8/15/2018,1055.212265
8/22/2018,1068.589696
8/29/2018,1066.996624
9/5/2018,1067.617208
9/12/2018,1068.56879
9/19/2018,1073.91031
9/26/2018,1083.502853
10/3/2018,1100.226346
10/10/2018,1101.870786
10/17/2018,1081.191451
10/24/2018,1086.096481
10/31/2018,1085.62464
11/7/2018,1082.060142
11/14/2018,1082.4954
11/21/2018,1086.281094
11/28/2018,1089.437695
12/5/2018,1073.594723
12/12/2018,1088.976757
12/19/2018,1072.982833
12/26/2018,1055.332452
1/2/2019,1047.616183
1/9/2019,1073.221423
1/16/2019,1064.692761
1/23/2019,1067.789821
1/30/2019,1079.604709
2/6/2019,1056.909473
2/13/2019,1061.633704
2/20/2019,1061.610321
2/27/2019,1071.812707
3/6/2019,1068.568241
3/13/2019,1062.81134
3/20/2019,1083.339483
3/27/2019,1080.855318
4/3/2019,1087.364992
4/10/2019,1073.393761
4/17/2019,1081.179391
4/24/2019,1065.029598
5/1/2019,1064.006919
5/8/2019,1081.073805
5/15/2019,1090.868875
5/22/2019,1082.719844
5/29/2019,1084.514367
6/5/2019,1099.985953
6/12/2019,1098.752555
6/19/2019,1112.555766
6/26/2019,1129.967578
7/3/2019,1163.904492
7/10/2019,1143.859097
7/17/2019,1140.428893
7/24/2019,1151.307718
7/31/2019,1152.451177
8/7/2019,1139.826856
8/14/2019,1134.573042
8/21/2019,1130.121111
8/28/2019,1120.443324
9/4/2019,1123.757449
9/11/2019,1115.714948
9/18/2019,1093.539908
9/25/2019,1097.362942
10/2/2019,1092.731951
10/9/2019,1091.844853
10/16/2019,1079.383489
10/23/2019,1087.998564
10/30/2019,1113.216377
11/6/2019,1119.986223
11/13/2019,1131.044271
